"average_bifurcation_angle_local","average_bifurcation_angle_remote","average_contraction","average_diameter","average_fragmentation","average_parent_daughter_ratio","hausdorff_dimension","id","max_branch_order","max_euclidean_distance","max_path_distance","neuron_reconstruction_type","number_bifurcations","number_branches","number_nodes","number_stems","number_tips","overall_depth","overall_height","overall_width","scale_factor_x","scale_factor_y","scale_factor_z","soma_surface","specimen_id","superseded","tags","total_length","total_surface","total_volume"
"82.7277810973656","","0.864267432568298","0.345091864655334","20.7230769230769","0.964510320389968","","491119743","6.0","99.7797241768086","126.593790172279","dendrite-only","33","73","1470","7","40","51.4886","140.506828743116","136.267521649507","0.1144","0.1144","0.28","435.740269600649","478107198","False","3D Neuron Reconstruction morphology","1666.08292559458","1803.87564422001","167.343085623457"
"82.5066804937799","","0.903889966354689","0.634047290985911","105.277777777778","0.86218269498544","","546781359","3.0","432.383109562585","496.831994283078","dendrite-only","9","23","2011","5","14","92.6671","566.701220153457","370.170045366266","0.1144","0.1144","0.28","1446.58772541902","502367941","False","3D Neuron Reconstruction morphology","2277.25937433188","4543.13907289201","921.571894719358"
"77.5366780668317","","0.863104126486085","0.417928653364861","73.6666666666667","0.926632929890573","","537042261","6.0","373.630444207227","436.958951908828","dendrite-only","21","46","3137","4","25","65.4696","425.897625283263","381.015114003528","0.1144","0.1144","0.28","287.11812285142","515771244","False","3D Neuron Reconstruction morphology","3589.33906195826","4704.9104071175","582.285423274458"
"76.5832223892476","","0.900537089176196","0.400395863904908","95.9791666666667","0.942049114155653","","689123605","11.0","943.382549424791","989.448317479123","full","24","52","4652","4","28","99.9139","1217.69497571848","524.550155546089","0.1144","0.1144","0.28","180.994813076735","561435279","False","3D Neuron Reconstruction morphology","5416.22877799765","6814.93329030379","740.722806192659"
"72.019249823472","","0.873517522034512","0.227626106499664","47.5357142857143","1.0","","657879305","5.0","186.218008961405","221.639502209507","full","14","32","1406","4","18","54.3718","172.075940901786","261.459057062212","0.1144","0.1144","0.28","55.0552361247796","591268268","False","3D Neuron Reconstruction morphology","1659.46586885779","1185.77346167565","69.1441455011549"
"76.9516534204621","","0.882233919878524","0.488085748162377","55.875","0.964472631992055","","689594739","10.0","334.802776345657","367.726711509372","full","24","53","2795","5","29","73.4485","396.851132093926","329.354162645378","0.1144","0.1144","0.28","230.678575387286","637034000","False","3D Neuron Reconstruction morphology","3223.39410332723","4940.7785176708","607.897093981671"
"68.4599090463419","","0.889766585081575","0.259648659460171","28.2631578947368","1.08519379612231","","491120305","6.0","107.89753306837","128.517407536202","dendrite-only","29","65","1729","7","36","44.52","170.658637316345","140.6123668267","0.1144","0.1144","0.28","358.755159133149","469753383","False","3D Neuron Reconstruction morphology","1825.6463207787","1499.85829486244","108.114603748737"
"62.2073422392878","","0.901603246045334","0.536444699582708","71.2992700729927","0.938015345697979","","702516390","14.0","500.505308841095","577.692574840173","full","69","144","9796","6","75","168.5527","729.549422055491","670.20504764793","0.1144","0.1144","0.28","328.873510666662","539542640","False","3D Neuron Reconstruction morphology","12462.6525169714","21947.3976149254","3584.4529994515"
"74.5875410471451","","0.914961181861014","0.27867512530904","42.685393258427","0.893874031775563","","491771446","9.0","497.648623523094","521.353024362101","dendrite-only","45","101","3959","11","56","81.5942","615.612146610286","322.114402404582","0.1144","0.1144","0.28","410.817692628377","480114344","False","3D Neuron Reconstruction morphology","4664.6620852147","4078.01853354578","308.800517398896"
"70.2265420657493","","0.899668797184924","0.355141438455973","74.1176470588235","0.945157504841243","","572836836","14.0","540.620963427187","636.639202320659","full","68","144","10255","8","76","144.0522","778.273891510757","470.059820737946","0.1144","0.1144","0.28","352.914843733911","548473051","False","3D Neuron Reconstruction morphology","11838.0990340997","13200.3399369478","1348.78601276352"
"79.9704058644151","","0.916528504728262","0.569298140850593","70.2461538461538","0.967693666211877","","603515571","7.0","444.976575274677","480.189191063252","full","33","71","4632","5","38","80.6243","572.448660055255","495.502917681346","0.1144","0.1144","0.28","719.807277881648","571500474","False","3D Neuron Reconstruction morphology","5347.11013855008","9562.70031756767","1542.84936861444"
"68.7400757300611","","0.886851224158315","0.827986087891109","78.078125","1.00103548022534","","595952514","14.0","1368.98181264484","1493.3731230547","full","32","71","5143","7","39","166.0871","1513.13200865553","573.09746191377","0.1144","0.1144","0.28","881.834479362099","528614014","False","3D Neuron Reconstruction morphology","6576.66979899152","17369.6598806303","4032.19887070084"
"79.4242695800555","","0.873994461867242","0.593634336380879","69.8260869565217","1.0","","644564684","5.0","330.210994768103","374.020622867082","full","23","50","3259","4","27","151.1762","449.69550678258","583.697986641085","0.1144","0.1144","0.28","443.34723281451","574036994","False","3D Neuron Reconstruction morphology","3936.498550346","7324.54121221249","1129.57518446628"
"73.4021542228108","","0.889292411175483","0.217684736238168","39.5185185185185","0.903473113669189","","491770168","7.0","363.176650722593","385.244480939495","dendrite-only","27","60","2187","6","33","150.0544","410.419127843519","228.63141342106","0.1144","0.1144","0.28","242.32407507771","324025371","False","3D Neuron Reconstruction morphology","2548.75912421439","1741.27607369005","99.3389504611774"
"77.7953812890814","","0.847958944017205","0.322756405687258","48.2777777777778","0.997688557911967","","645075400","4.0","201.927055674914","236.430733194943","full","27","61","2676","7","34","120.2672","254.190401906699","266.308723786166","0.1144","0.1144","0.28","189.242676820662","614767057","False","3D Neuron Reconstruction morphology","3132.44389024324","3172.36038497345","254.598241916009"
